Rank,BName,BName_sub,ItemId,Author,Author_mul,Publshr,Pdate,RglPrice,SlsPrice,SalesPoint,Category,Sorce
723.0,소망 없는 불행,,362755,페터 한트케,True,민음사,2002-06-10,10000,9000,4137.0,에세이,2002년8월3주
476.0,엄마가 찍어주는 우리아기사진,,361954,홍미숙.김문정,False,기타 출판사,2002-06-12,10000,9000,216.0,좋은부모,2002년8월3주
754.0,책으로 만나는 사상가들,,362734,최성일,False,기타 출판사,2002-06-13,15000,13500,235.0,인문학,2002년8월3주
773.0,사귐의 기도,,361956,김영봉,False,기타 출판사,2002-06-15,8000,7200,3282.0,종교/역학,2005년2월1주
911.0,폐허의 도시,,361971,폴 오스터,True,열린책들,2002-06-15,12800,11520,931.0,소설/시/희곡,2002년8월3주
827.0,넌 아직도 톤 붙이니?,,362221,서정은,False,서울문화사,2002-06-15,24000,21600,200.0,만화,2002년8월3주
121.0,시선,,362801,원성,True,기타 출판사,2002-06-15,9000,8100,862.0,종교/역학,2002년8월3주
297.0,토플에 자주나오는 1000단어,,363151,정연재,False,기타 출판사,2002-06-15,12000,10800,550.0,외국어,2002년8월3주
940.0,두려움과 떨림,,364312,아멜리 노통브,True,열린책들,2002-06-15,8500,7650,1554.0,소설/시/희곡,2002년8월3주
731.0,공상비과학대전 2,,365481,야나기타 리카오,True,대원씨아이(만화),2002-06-15,8000,7200,364.0,과학,2002년8월3주
707.0,Flash MX 애니메이션 & 액션스크립트 무작정 따라하기,,360843,권장윤.양주일,False,길벗,2002-06-18,32800,29520,689.0,컴퓨터/모바일,2002년8월3주
767.0,서비스 달인의 비밀 노트 3,,363301,론 젬키 & 칩 벨,True,기타 출판사,2002-06-20,12000,10800,541.0,경제경영,2002년8월3주
538.0,컴퓨터활용능력 1급 필기 - 데이터베이스 일반,,363556,T&T교육교재개발팀,False,영진.com(영진닷컴),2002-06-20,6000,5400,92.0,컴퓨터/모바일,2002년8월3주
985.0,꽃의 제국,,364670,강혜순,False,기타 출판사,2002-06-20,16000,14400,512.0,과학,2002년8월3주
626.0,암에 관한 킨제이 보고서,,366335,암사연,False,기타 출판사,2002-06-20,10000,9000,78.0,건강/취미,2002년8월3주
183.0,나무를 심은 사람,,28001,장지오노,True,기타 출판사,2002-06-21,6500,5850,2746.0,소설/시/희곡,2005년2월1주
20.0,좌우는 있어도 위아래는 없다,,362284,박노자,False,한겨레출판,2002-06-21,11000,9900,4242.0,사회과학,2002년8월3주
391.0,몬스터 1~18 세트,(완결),363150,우라사와 나오키,False,기타 출판사,2002-06-21,54000,48600,670.0,만화,2002년8월3주
752.0,희소적중 100% 도전 교육학 문제집,,363066,탁영진.유길준,False,기타 출판사,2002-06-24,20000,19000,187.0,수험서/자격증,2002년8월3주
