BName,BName_sub,ItemId,Author,Author_mul,Publshr,Pdate,RglPrice,SlsPrice,SalesPoint,Category
"[904  14   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],190355,578,False,27,1990-11-01,7000,6300,2016.0,[4 1 3 1 5]
"[904  29   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],190356,578,False,27,1990-11-01,7000,6300,2074.0,[4 1 3 1 5]
"[904  56   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],190357,578,False,27,1990-11-01,7000,6300,2141.0,[4 1 3 1 5]
"[2374   70 7303    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],49841,3320,True,0,1990-12-01,4000,3800,586.0,[43  1 44  0  0]
"[408 913 175 645   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],157080,871,False,0,1991-04-01,7000,6300,136.0,[7 0 0 0 0]
"[6030    6  404   13 1880 1337 1561  176    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],42038,826,False,12,1992-01-01,12000,10800,6678.0,[4 1 3 1 5]
"[142  37 498   6 266 496   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],100010,0,True,10,1992-01-25,7900,7110,441.0,[35 13 41  0  0]
"[2246 1739    2  336   25  898  234   46 5533 5516    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],82626,2852,True,12,1992-03-01,5000,4500,164.0,[4 1 3 1 5]
"[ 449   25 6655   19    6  187    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],156723,3094,False,0,1992-05-01,5000,4500,1480.0,[43  1 44  0  0]
"[2253 1530  594 1707    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],78023,0,False,0,1993-01-01,22000,19800,50.0,[43  1 44  0  0]
"[ 359  222    2 1197    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],105869,3320,True,0,1993-04-01,4000,3800,630.0,[43  1 44  0  0]
