순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명),source
896.0,국내도서,어미새의 사랑,99282,9788970084015,,생명의삶,두란노,1993-09-01,6500,5850,320점,17.0,종교/역학,2001년1월3주
845.0,국내도서,주식시장 흐름 읽는 법,134224,9788947520829,3300,"우라카미 구미오 지음, 박승원 옮김",한국경제신문,1993-10-01,10000,9000,500점,3827.0,경제경영,2021년6월1주
622.0,국내도서,이기적 유전자,116296,9788932460253,,"리처드 도킨스 지음, 홍영남 옮김",을유문화사,1993-11-01,9000,8100,450점,527.0,대학교재/전문서적,2002년8월3주
175.0,국내도서,프랑스 향수보다 마음의 향기가 오래간다,155121,9788985456050,,이상은 지음,비전(학습),1993-11-01,4000,3600,200점,164.0,소설/시/희곡,2005년2월1주
892.0,국내도서,예수님을 따르라 -상 ,105803,9788985289900,3230.0,귄터크랄만,예수전도단,1993-12-01,2000,1800,100점,44.0,종교/역학,2005년2월1주
818.0,국내도서,나 가꾸기,27051,9788970466514,,이영희 지음,규장(규장문화사),1993-12-01,1500,1350,70점,105.0,종교/역학,2002년8월3주
367.0,국내도서,미학 오디세이 1,54561,9788970331102,,진중권 지음,새길아카데미,1994-01-01,7000,6650,200점,414.0,예술/대중문화,2001년1월3주
919.0,국내도서,수레바퀴 밑에서,83710,9788970552767,3850.0,헤르만 헤세 지음,홍신문화사,1994-03-01,7000,6300,350점,299.0,소설/시/희곡,2002년8월3주
1000.0,국내도서,주주맹자,134493,9788942660100,,김동길.허호구 옮김,창지사,1994-04-01,16000,16000,480점,24.0,대학교재/전문서적,2001년1월3주
306.0,국내도서,성공하는 사람들의 7가지 습관,190659,9788934901501,,"스티븐 코비 지음, 김경섭 옮김",김영사,1994-04-01,11900,10710,590점,2436.0,자기계발,2002년8월3주
596.0,국내도서,미학 오디세이 2,191209,9788970331140,,진중권 지음,새길아카데미,1994-04-01,7000,6650,200점,263.0,예술/대중문화,2001년1월3주
887.0,국내도서,오행은 뭘까,107339,9788972630180,3840.0,전창선.어윤형  지음,세기,1994-06-01,7500,6750,370점,991.0,인문학,2001년1월3주
794.0,국내도서,창조의 비밀,140656,9788971540756,,김영길 외 지음,국민일보,1994-06-01,5000,4500,250점,42.0,종교/역학,2005년2월1주
706.0,국내도서,무량수전 배흘림기둥에 기대서서,50869,9788985846011,3600.0,최순우 지음,학고재,1994-06-01,15000,13500,750점,2294.0,역사,2002년8월3주
122.0,국내도서,나의 문화유산답사기 2,28315,9788936470166,30810.0,유홍준 지음,창비,1994-07-01,13000,11700,130점,4486.0,인문학,2002년8월3주
46.0,국내도서,똑똑한 우리아이 왜 공부안하나?,43430,9788972591016,,전정재 지음,시공사,1994-07-01,8000,7200,400점,176.0,좋은부모,2002년8월3주
763.0,국내도서,쉽게 찾는 우리꽃 - 여름,85561,9788932308012,4480.0,김태정 지음,현암사,1994-07-01,15000,13500,750점,2109.0,과학,2002년8월3주
624.0,국내도서,우연과 행운의 과학적 발견이야기,110525,9788970233062,3400.0,로이스톤M.로버츠,국제,1994-09-01,7000,6300,350점,100.0,과학,2013년4월4주
549.0,국내도서,쥐 I,333001,9788988404713,3840.0,"아트 슈피겔만 지음, 권희종 외 옮김",아름드리미디어,1994-09-01,7500,6750,370점,7429.0,만화,2005년2월1주
586.0,국내도서,ELITE 종합 TOEIC (교재 + 테이프),178134,,,민선식 외 지음,와이비엠,1994-11-01,42000,37800,"2,100점",49.0,외국어,2001년1월3주
448.0,국내도서,미당 시전집 1,53640,9788937421914,4810.0,서정주 지음,민음사,1994-12-01,16000,15200,800점,760.0,소설/시/희곡,2001년1월3주
939.0,국내도서,미당 시전집 2,53641,9788937421921,4810.0,서정주 지음,민음사,1994-12-01,18000,17100,900점,508.0,소설/시/희곡,2001년1월3주
821.0,국내도서,쉽게 찾는 우리꽃 - 가을 겨울,85559,9788932308029,4480.0,김태정 지음,현암사,1994-12-01,15000,13500,750점,1787.0,과학,2002년8월3주
201.0,국내도서,어린이 책을 읽는 어른,98794,9788901012490,,이주영 지음,웅진지식하우스,1994-12-01,5000,4500,250점,829.0,좋은부모,2005년2월1주
836.0,국내도서,태백산맥 2,190184,9788973370788,,조정래,해냄,1995-01-01,6800,6120,340점,355.0,소설/시/희곡,2001년1월3주
971.0,국내도서,태백산맥 4,190187,9788973370801,,조정래 지음,해냄,1995-01-15,6800,6120,340점,365.0,소설/시/희곡,2001년1월3주
661.0,국내도서,태백산맥 6,190190,9788973370825,,조정래 지음,해냄,1995-01-15,6800,6120,340점,365.0,소설/시/희곡,2001년1월3주
756.0,국내도서,태백산맥 7,190191,9788973370832,,조정래 지음,해냄,1995-01-15,6800,6120,340점,371.0,소설/시/희곡,2001년1월3주
566.0,국내도서,옛이야기 들려주기,106472,9788985494205,3370.0,서정오 지음,보리,1995-02-01,7000,6300,350점,3198.0,사회과학,2002년8월3주
716.0,국내도서,골프스윙,11501,9788978490177,3690.0,데이비드 리드베터 지음,삼호미디어,1995-02-01,25000,22500,"1,250점",859.0,건강/취미,2005년2월1주
947.0,국내도서,아리랑 9,189821,9788973370511,,조정래,해냄,1995-02-01,6800,6120,340점,190.0,소설/시/희곡,2001년1월3주
531.0,국내도서,나는 빠리의 택시운전사,27394,9788936470227,,홍세화 지음,창비,1995-03-01,8500,7650,420점,4147.0,에세이,2005년2월1주
775.0,국내도서,물질문명과 자본주의 1-1,53100,9788972910831,94900.0,페르낭 브로델 지음,까치,1995-03-01,18000,16200,900점,2169.0,역사,2002년8월3주
